Date,Time,Zone,Device,PPM,VOC
12/21/2021,19:23,Zone1,T3,0,0
12/21/2021,19:23,Zone1,T4,0,0
12/21/2021,19:24,Zone1,T1,552,23
12/21/2021,19:24,Zone1,T2,552,23
12/21/2021,19:24,Zone2,T1,548,22
12/21/2021,19:24,Zone2,T2,444,6
12/21/2021,19:24,Zone1,T3,0,0
12/21/2021,19:24,Zone1,T4,0,0
12/21/2021,19:25,Zone1,T1,561,24
12/21/2021,19:25,Zone1,T2,552,23
12/21/2021,19:25,Zone2,T1,566,25
12/21/2021,19:25,Zone2,T2,552,23
12/21/2021,19:26,Zone1,T1,561,24
12/21/2021,19:26,Zone1,T2,552,23
12/21/2021,19:26,Zone2,T1,589,28
12/21/2021,19:26,Zone2,T2,417,2
12/21/2021,19:26,Zone1,T3,0,0
12/21/2021,19:26,Zone1,T4,0,0
12/21/2021,19:27,Zone1,T1,555,23
12/21/2021,19:27,Zone1,T2,552,23
12/21/2021,19:27,Zone2,T1,536,20
12/21/2021,19:27,Zone2,T2,529,19
12/21/2021,19:27,Zone1,T3,0,0
12/21/2021,19:27,Zone1,T4,0,0
12/21/2021,19:28,Zone1,T1,589,28
12/21/2021,19:28,Zone1,T2,552,23
12/21/2021,19:28,Zone2,T1,602,30
12/21/2021,19:28,Zone2,T2,437,5
12/21/2021,19:28,Zone1,T3,0,0
12/21/2021,19:28,Zone1,T4,0,0
12/21/2021,19:29,Zone1,T1,594,29
12/21/2021,19:29,Zone1,T2,552,23
12/21/2021,19:29,Zone2,T1,599,30
12/21/2021,19:29,Zone2,T2,497,14
12/21/2021,19:29,Zone1,T3,0,0
12/21/2021,19:29,Zone1,T4,0,0
12/21/2021,19:31,Zone1,T1,561,24
12/21/2021,19:31,Zone1,T2,552,23
12/21/2021,19:31,Zone2,T1,540,21
12/21/2021,19:31,Zone2,T2,477,11
12/21/2021,19:31,Zone1,T3,0,0
12/21/2021,19:31,Zone1,T4,0,0
12/21/2021,19:33,Zone1,T1,567,25
12/21/2021,19:33,Zone1,T2,552,23
12/21/2021,19:33,Zone2,T1,612,32
12/21/2021,19:33,Zone2,T2,459,8
12/21/2021,19:33,Zone1,T3,0,0
12/21/2021,19:33,Zone1,T4,0,0
12/21/2021,19:34,Zone1,T1,603,30
12/21/2021,19:34,Zone1,T2,552,23
12/21/2021,19:34,Zone2,T1,588,28
12/21/2021,19:34,Zone2,T2,478,11
12/21/2021,19:34,Zone1,T3,0,0
12/21/2021,19:34,Zone1,T4,0,0
12/21/2021,19:35,Zone1,T1,586,28
12/21/2021,19:35,Zone1,T2,552,23
12/21/2021,19:35,Zone2,T1,534,20
12/21/2021,19:35,Zone2,T2,451,7
12/21/2021,19:36,Zone1,T1,567,25
12/21/2021,19:36,Zone1,T2,552,23
12/21/2021,19:36,Zone2,T1,565,25
12/21/2021,19:36,Zone2,T2,477,11
12/21/2021,19:36,Zone1,T3,0,0
12/21/2021,19:36,Zone1,T4,0,0
12/21/2021,19:37,Zone1,T1,603,30
12/21/2021,19:37,Zone1,T2,552,23
12/21/2021,19:37,Zone2,T1,637,36
12/21/2021,19:37,Zone2,T2,452,7
12/21/2021,19:37,Zone1,T3,0,0
12/21/2021,19:37,Zone1,T4,0,0
12/21/2021,19:38,Zone1,T1,597,30
12/21/2021,19:38,Zone1,T2,552,23
12/21/2021,19:38,Zone2,T1,612,32
12/21/2021,19:38,Zone2,T2,488,13
12/21/2021,19:38,Zone1,T3,0,0
12/21/2021,19:38,Zone1,T4,0,0
12/21/2021,19:40,Zone1,T1,566,25
12/21/2021,19:40,Zone1,T2,552,23
12/21/2021,19:40,Zone2,T1,620,33
12/21/2021,19:40,Zone2,T2,493,14
12/21/2021,19:40,Zone1,T3,0,0
12/21/2021,19:40,Zone1,T4,0,0
12/21/2021,19:41,Zone1,T1,597,30
12/21/2021,19:41,Zone1,T2,552,23
12/21/2021,19:41,Zone2,T1,612,32
12/21/2021,19:41,Zone2,T2,437,5
12/21/2021,19:41,Zone1,T3,0,0
12/21/2021,19:41,Zone1,T4,0,0
12/21/2021,19:42,Zone1,T1,578,27
12/21/2021,19:42,Zone1,T2,552,23
12/21/2021,19:42,Zone2,T1,614,32
12/21/2021,19:42,Zone2,T2,515,17
12/21/2021,19:42,Zone1,T3,0,0
12/21/2021,19:42,Zone1,T4,0,0
12/21/2021,19:43,Zone1,T1,612,32
12/21/2021,19:43,Zone1,T2,552,23
12/21/2021,19:43,Zone2,T1,540,21
12/21/2021,19:43,Zone2,T2,459,8
12/21/2021,19:43,Zone1,T3,0,0
12/21/2021,19:43,Zone1,T4,0,0
12/21/2021,19:44,Zone1,T1,597,30
12/21/2021,19:44,Zone1,T2,552,23
12/21/2021,19:44,Zone2,T1,618,33
12/21/2021,19:44,Zone2,T2,520,18
12/21/2021,19:48,Zone1,T1,591,29
12/21/2021,19:48,Zone1,T2,552,23
12/21/2021,19:48,Zone2,T1,555,23
12/21/2021,19:48,Zone2,T2,563,24
12/21/2021,19:48,Zone1,T3,0,0
12/21/2021,19:48,Zone1,T4,0,0
12/21/2021,19:49,Zone1,T1,603,30
12/21/2021,19:49,Zone1,T2,552,23
12/21/2021,19:49,Zone2,T1,611,32
12/21/2021,19:49,Zone2,T2,420,3
12/21/2021,19:49,Zone1,T3,0,0
12/21/2021,19:49,Zone1,T4,0,0
12/21/2021,19:50,Zone1,T1,611,32
12/21/2021,19:50,Zone1,T2,552,23
12/21/2021,19:50,Zone2,T1,618,33
12/21/2021,19:50,Zone2,T2,569,25
12/21/2021,19:50,Zone1,T3,0,0
12/21/2021,19:50,Zone1,T4,0,0
12/21/2021,19:51,Zone1,T1,584,28
12/21/2021,19:51,Zone1,T2,552,23
12/21/2021,19:51,Zone2,T1,575,26
12/21/2021,19:51,Zone2,T2,417,2
12/21/2021,19:51,Zone1,T3,0,0
12/21/2021,19:51,Zone1,T4,0,0
12/21/2021,19:52,Zone1,T1,600,30
12/21/2021,19:52,Zone1,T2,552,23
12/21/2021,19:52,Zone2,T1,612,32
12/21/2021,19:52,Zone2,T2,571,26
12/21/2021,19:52,Zone1,T3,0,0
12/21/2021,19:52,Zone1,T4,0,0
12/21/2021,19:53,Zone1,T1,624,34
12/21/2021,19:53,Zone1,T2,552,23
12/21/2021,19:53,Zone2,T1,617,33
12/21/2021,19:53,Zone2,T2,426,3
12/21/2021,19:53,Zone1,T3,0,0
12/21/2021,19:53,Zone1,T4,0,0
12/21/2021,19:54,Zone1,T1,600,30
12/21/2021,19:54,Zone1,T2,552,23
12/21/2021,19:54,Zone2,T1,643,37
12/21/2021,19:54,Zone2,T2,580,27
12/21/2021,19:54,Zone1,T3,0,0
12/21/2021,19:54,Zone1,T4,0,0
12/21/2021,19:56,Zone1,T1,627,34
12/21/2021,19:56,Zone1,T2,552,23
12/21/2021,19:56,Zone2,T1,623,33
12/21/2021,19:56,Zone2,T2,591,29
12/21/2021,19:56,Zone1,T3,0,0
12/21/2021,19:56,Zone1,T4,0,0
12/21/2021,19:57,Zone1,T1,641,36
12/21/2021,19:57,Zone1,T2,552,23
12/21/2021,19:58,Zone1,T1,620,33
12/21/2021,19:58,Zone1,T2,552,23
12/21/2021,19:58,Zone2,T1,653,38
12/21/2021,19:58,Zone2,T2,600,30
12/21/2021,19:58,Zone1,T3,0,0
12/21/2021,19:58,Zone1,T4,0,0
12/21/2021,19:59,Zone1,T1,623,33
12/21/2021,19:59,Zone1,T2,552,23
12/21/2021,19:59,Zone2,T1,617,33
